"","Date","Discharge_cfs","SuspendedSedimentConcentration_mg.L","Phosphorus_mg.L","Year","Month","DOY"
"1",1996-07-18,582,39,0.05,1996,7,200
"2",2000-07-19,1120,38,0.157,2000,7,201
"3",2006-09-12,541,26,0.074,2006,9,255
"4",2006-11-06,1560,16,0.06,2006,11,310
"5",2007-05-09,2460,9,0.07,2007,5,129
"6",2007-06-26,984,14,0.062,2007,6,177
"7",2007-08-07,701,6,0.063,2007,8,219
"8",2008-11-24,458,13,0.04,2008,11,329
"9",2009-01-26,699,6,0.027,2009,1,26
"10",2009-11-19,652,14,0.032,2009,11,323
"11",2010-05-10,3300,13,0.05,2010,5,130
"12",2010-08-16,1040,59,0.074,2010,8,228
"13",2010-12-02,502,9,0.018,2010,12,336
"14",2011-06-02,1530,17,0.044,2011,6,153
"15",2011-08-12,902,121,0.231,2011,8,224
"16",2011-12-07,709,11,0.054,2011,12,341
"17",2012-04-25,975,6,0.063,2012,4,116
"18",2012-08-22,464,73,0.178,2012,8,235
"19",2012-12-18,961,10,0.043,2012,12,353
"20",2013-05-09,968,14,0.041,2013,5,129
"21",2013-08-01,338,300,0.15,2013,8,213
"22",2013-12-17,577,14,0.054,2013,12,351
"23",2014-05-12,1800,24,0.057,2014,5,132
"24",2014-08-21,550,24,0.102,2014,8,233
"25",2015-01-05,463,7,0.034,2015,1,5
"26",2015-03-28,1550,15,0.057,2015,3,87
"27",2015-08-11,891,37,0.104,2015,8,223
"28",2016-01-25,596,5,0.035,2016,1,25
"29",2016-05-25,3340,12,0.066,2016,5,146
"30",2016-08-25,748,91,0.1,2016,8,238
"31",2016-12-12,823,7,0.054,2016,12,347
"32",2017-04-26,4900,66,0.106,2017,4,116
"33",2017-08-17,684,75,0.092,2017,8,229
"34",2018-01-24,613,638,0.027,2018,1,24
"35",2018-04-12,666,10,0.045,2018,4,102
"36",2018-08-20,631,23,0.06,2018,8,232
"37",2019-02-26,857,11,0.037,2019,2,57
"38",2019-05-21,5360,71,0.132,2019,5,141
"39",2019-08-19,1160,78,0.156,2019,8,231
"40",2020-01-13,576,3,0.031,2020,1,13
"41",2020-05-11,780,10,0.056,2020,5,132
"42",2020-08-17,580,23,0.045,2020,8,230
"43",2021-01-07,463,3,0.013,2021,1,7
"44",2021-05-03,1250,6,0.03,2021,5,123
"45",2021-08-09,489,65,0.076,2021,8,221
