"","DOY","median_Flow_cfs","p25_Flow_cfs","p75_Flow_cfs"
"1",12,230,230,230
"2",14,215,215,215
"3",39,350,350,350
"4",45,300,300,300
"5",48,380,380,380
"6",49,358.5,336.75,380.25
"7",50,370,370,370
"8",51,300,300,300
"9",52,365,365,365
"10",54,340,340,340
"11",55,387,348.5,428.5
"12",56,602.5,561.25,643.75
"13",57,300,300,300
"14",58,406.5,345.5,468.75
"15",59,353,353,353
"16",62,345,335,400
"17",64,332.5,286.25,378.75
"18",65,325,325,325
"19",69,438,425,446
"20",70,400,400,400
"21",71,384,384,384
"22",73,391,391,391
"23",78,451,406.5,495.5
"24",81,335,335,335
"25",83,254,254,254
"26",85,70,70,70
"27",87,243,243,243
"28",92,1020,1020,1020
"29",96,40,40,40
"30",97,970,970,970
"31",109,103,103,103
"32",110,526,526,526
"33",111,863,863,863
"34",112,355,355,355
"35",113,1681,916.5,2445.5
"36",114,278,278,278
"37",115,965.5,848.25,1082.75
"38",119,1220,1220,1220
"39",124,145,145,145
"40",126,1380,1380,1380
"41",130,543,435,651
"42",133,1125,967.5,1282.5
"43",135,36,36,36
"44",140,529,529,529
"45",141,1890,1890,1890
"46",142,1615,1352.5,1877.5
"47",144,1030,1030,1030
"48",145,533,357.5,831.5
"49",147,146,146,146
"50",148,114.5,94.75,134.25
"51",150,1560,1560,1560
"52",151,147,121.5,1548.5
"53",152,208,208,208
"54",153,1450,1450,1450
"55",155,22,22,22
"56",158,522,522,522
"57",160,110,110,110
"58",161,844,729,2237
"59",162,433,349,1171.5
"60",164,940,745,1135
"61",165,970,970,970
"62",167,1044.5,731.75,1357.25
"63",168,536,536,536
"64",170,104,104,104
"65",172,490,490,490
"66",173,954,551,1357
"67",174,861,861,861
"68",175,74,48.5,265.5
"69",177,2489,1693.5,3284.5
"70",178,52,52,52
"71",179,255,255,255
"72",180,791,406.5,1175.5
"73",181,685,193,1690
"74",182,3000,3000,3000
"75",187,105,105,105
"76",188,170,170,170
"77",191,844,844,844
"78",192,11,11,11
"79",193,182,182,182
"80",196,153,146,160
"81",198,36,36,36
"82",199,360,360,360
"83",200,46,46,46
"84",201,125,84.5,197.5
"85",203,359,359,359
"86",204,153,153,153
"87",205,323,323,323
"88",207,15,15,15
"89",208,433,433,433
"90",209,62.5,44.25,80.75
"91",210,239,239,239
"92",212,60,46.5,79.5
"93",213,263,263,263
"94",223,93.5,87.75,99.25
"95",225,211,211,211
"96",226,14,14,14
"97",227,7.3,7.3,7.3
"98",228,107,104.5,109.5
"99",229,42,42,42
"100",230,98,98,98
"101",231,503,341,665
"102",232,91.7,50.05,133.35
"103",233,30,30,30
"104",234,174,174,174
"105",235,188,188,188
"106",237,68,40,96
"107",238,57,43.75,159.75
"108",239,33,16,88
"109",240,131,77,185
"110",241,85,62.5,107.5
"111",242,82,62,215
"112",244,30,30,30
"113",245,30,30,30
"114",252,472,472,472
"115",258,1060,1060,1060
"116",264,115,115,115
"117",267,87,87,87
"118",269,328,328,328
"119",272,71,60.5,81.5
"120",276,22,22,22
"121",279,142,142,142
"122",280,15,15,15
"123",281,19,19,19
"124",282,147,147,147
"125",284,52.5,43.25,61.75
"126",286,173,173,173
"127",287,56,34,67
"128",288,398,398,398
"129",290,102.5,50.5,176.25
"130",291,62,62,62
"131",293,90,90,90
"132",295,81,81,81
"133",298,191,162,196
"134",299,95,95,95
"135",301,105,84.5,440.5
"136",302,101,75,258
"137",303,53,37,69
"138",304,267,267,267
"139",307,286,286,286
"140",308,580,580,580
"141",311,436,239.5,632.5
"142",337,215,215,215
"143",340,130,130,130
"144",343,330,330,330
"145",344,430,430,430
"146",345,160,160,160
"147",349,360,360,360
"148",351,715,715,715
"149",353,220,220,220
"150",357,570,570,570
"151",364,277.5,271.25,283.75
